#Code,Name,Lat,Lon,Date Interval
GLN_hr,GLENLEA (GLN),49.6,-97.1,1982-01-01 - 1997-12-31
GNA_hr,GNANGARA,-31.78,115.95,1957-07-01 - 2007-12-31
GDH_hr,GODHAVN,69.24,-53.52,1959-01-01 - 2006-12-31
GWC_hr,GREAT WHALE R.,55.27,-77.78,1965-09-01 - 1984-08-31
GCK_hr,GROCKA,44.63,20.77,1965-01-01 - 2007-12-31
GUA_hr,GUAM,13.58,144.87,1958-01-01 - 2007-12-31
GZH_hr,GUANGZHOU,23.09,113.34,1979-09-01 - 2006-12-31
GUI_hr,GUIMAR,28.321,-16.441,1997-01-01 - 2007-12-31
HBA_hr,HALLEY BAY,-75.52,-26.6,1957-05-01 - 1967-12-31
HBK_hr,HARTEBEESTHOEK,-25.88,27.71,1972-01-01 - 2007-12-31
HAD_hr,HARTLAND,51,-4.48,1957-01-01 - 2007-12-31
HTY_hr,HATIZYO I,33.13,139.8,1986-01-01 - 2004-12-31
HVN_hr,HAVANA,22.97,-82.14,1967-09-01 - 1968-06-30
HIS_hr,HEISS ISLAND,80.62,58.05,1958-07-01 - 1969-12-31
HLP_hr,HEL,54.61,18.82,1995-01-01 - 2007-12-31
HLW_hr,HELWAN,29.86,31.34,1957-07-01 - 1959-12-31
HER_hr,HERMANUS,-34.43,19.23,1941-01-01 - 2007-12-31
HNA_hr,HOLLANDIA,-2.57,140.51,1957-07-01 - 1959-12-31
HON_hr,HONOLULU,21.32,-158.06,1906-01-01 - 2007-12-31
HRN_hr,HORNSUND,77,15.55,1986-01-01 - 2007-12-31
HUA_hr,HUANCAYO,-12.05,-75.34,1964-01-01 - 2007-12-31
HRB_hr,HURBANOVO,47.87,18.19,1979-09-01 - 2007-12-31
HYB_hr,HYDERABAD,17.41,78.56,1983-01-01 - 2004-12-31
IBD_hr,IBADAN,7.43,3.9,1965-10-01 - 1965-10-31
IQA_hr,IQALUIT,63.753,-68.518,1995-01-01 - 2007-12-31
IRT_hr,IRKUTSK,52.46,104.04,1998-01-01 - 2007-12-31
ISK_hr,ISTANBUL-KANDILL,41.06,29.06,1980-01-01 - 1997-12-31
JAI_hr,JAIPUR,26.92,75.8,1979-09-01 - 1987-12-31
JRV_hr,JARVIS ISLAND,-0.38,-160.03,1957-08-01 - 1959-01-31
KDU_hr,KAKADU,-12.686,132.472,1995-03-01 - 2007-12-31
KAK_hr,KAKIOKA,36.23,140.19,1913-01-01 - 2007-12-31
KNY_hr,KANOYA,31.42,130.88,1958-01-01 - 2007-12-31
KNZ_hr,KANOZAN,35.25,139.96,1980-01-01 - 2001-08-31
KRC_hr,KARACHI,24.95,67.14,1997-01-01 - 1998-12-31
KGD_hr,KARAGANDA,49.82,73.08,1969-01-01 - 1980-06-30
KSH_hr,KASHI,39.5,76,2000-01-01 - 2000-12-31
KZN_hr,KAZAN,55.83,48.85,1957-07-01 - 1987-12-31
KGL_hr,KERGUELEN,-49.35,70.2,1957-01-01 - 1987-12-31
KIV_hr,KIEV,50.72,30.3,1958-07-01 - 1991-11-30
